Name	Surname	Final Average	Final Medium
Name1	Surname1	7.73	7.60
Name2	Surname2	8.60	8.60
Name3	Surname3	5.60	5.40
Name4	Surname4	6.60	6.80
Name5	Surname5	4.87	4.40
Name6	Surname6	4.53	4.40
Name7	Surname7	5.93	6.00
Name8	Surname8	7.07	7.20
Name9	Surname9	5.40	5.00
Name10	Surname10	5.07	5.00
Name11	Surname11	7.00	7.00
Name12	Surname12	7.40	7.40
Name13	Surname13	6.40	6.60
Name14	Surname14	8.60	8.80
Name15	Surname15	5.67	5.60
Name16	Surname16	7.07	7.00
Name17	Surname17	8.47	8.60
Name18	Surname18	9.20	9.20
Name19	Surname19	8.67	8.20
Name20	Surname20	8.67	8.80
