Name        Surname    HW1   HW2   HW3   HW4   HW5   Exam
Name1       Surname1     7     10     7     6     6     8
Name2       Surname2     8      4     5     8     4    10
Name3       Surname3     7      8     9     5     5     5
Name4       Surname4     4      7     5     6     7     7
Name5       Surname5     4     10     4     9     6     4
Name6       Surname6     5      5     4     5     9     4
Name7       Surname7     8      5     7    10     9     5
Name8       Surname8    10      4     8     4    10     7
Name9       Surname9     5      5     8     4     9     5
Name10      Surname10    5      4     6     7     4     5
Name11      Surname11    7      5     8     5    10     7
Name12      Surname12   10      7    10     9     5     7
Name13      Surname13    8      9     8     7     4     6
Name14      Surname14    8      9     4     8    10     9
Name15      Surname15    4      4     6     4     7     6
Name16      Surname16    5      7    10     6     8     7
Name17      Surname17    7     10     6     9     5     9
Name18      Surname18    6     10     6     7     9    10
Name19      Surname19    4      5    10     5     6    10
Name20      Surname20    8     10     5     9     8     9
